"Question","Answer"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = B","C(z + x) = B"
"Expand C: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: z + x = C","z + x = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = B","C(y + x) = B"
"Expand C: C(y + x) = B","Cy + Cx = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: y + x = C","y + x = C"
"Factor out x: Cx + Cy = B","C(x + y) = B"
"Expand x: C(x + y) = B","Cx + Cy = B"
"Combine like terms: x + z = C","x + z = C"
"Factor out C: Cx + Cy = A","C(x + y) = A"
"Expand C: C(x + y) = A","Cx + Cy = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: z + x = C","z + x = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Expand z: C(z + x) = B","Cz + Cx = B"
"Combine like terms: x + y = C","x + y = C"
"Factor out x: Cx + Cz = A","C(x + z) = A"
"Expand x: C(x + z) = A","Cx + Cz = A"
"Combine like terms: y + z = C","y + z = C"
"Factor out C: Cy + Cx = A","C(y + x) = A"
"Expand C: C(y + x) = A","Cy + Cx = A"
"Combine like terms: x + z = C","x + z = C"
"Factor out z: Cz + Cx = A","C(z + x) = A"
"Expand z: C(z + x) = A","Cz + Cx = A"
"Combine like terms: y + x = C","y + x = C"
"Factor out C: Cx + Cy = B","C(x + y) = B"
"Expand C: C(x + y) = B","Cx + Cy = B"
"Combine like terms: z + y = C","z + y = C"
"Factor out C: Cz + Cx = A","C(z + x) = A"
"Expand C: C(z + x) = A","Cz + Cx = A"
"Combine like terms: x + y = C","x + y = C"
"Factor out z: Cz + Cx = B","C(z + x) = B"
"Combine terms: w + x = D","w + x = D"
"Factor out w: Dw + Dx = E","D(w + x) = E"
"Expand w: D(w + x) = E","Dw + Dx = E"
"Combine terms: x + z = D","x + z = D"
"Factor out D: Dx + Dz = E","D(x + z) = E"
"Expand D: D(x + z) = E","Dx + Dz = E"
"Combine terms: w + y = D","w + y = D"
"Factor out D: Dw + Dy = E","D(w + y) = E"
"Expand D: D(w + y) = E","Dw + Dy = E"
"Combine terms: w + z = D","w + z = D"
"Factor out w: Dw + Dz = F","D(w + z) = F"
"Expand w: D(w + z) = F","Dw + Dz = F"
"Combine terms: y + z = D","y + z = D"
"Factor out D: Dy + Dz = F","D(y + z) = F"
"Expand D: D(y + z) = F","Dy + Dz = F"
"Combine terms: z + w = D","z + w = D"
"Factor out z: Dz + Dw = F","D(z + w) = F"
"Expand z: D(z + w) = F","Dz + Dw = F"
"Combine terms: w + x = D","w + x = D"
"Factor out w: Dw + Dx = E","D(w + x) = E"
"Expand w: D(w + x) = E","Dw + Dx = E"
"Combine terms: x + y = D","x + y = D"
"Factor out D: Dx + Dy = E","D(x + y) = E"
"Expand D: D(x + y) = E","Dx + Dy = E"
"Combine terms: w + z = D","w + z = D"
"Factor out D: Dw + Dz = F","D(w + z) = F"
"Expand D: D(w + z) = F","Dw + Dz = F"
"Combine terms: y + w = D","y + w = D"
"Factor out D: Dy + Dw = F","D(y + w) = F"
"Expand D: D(y + w) = F","Dy + Dw = F"
"Combine terms: z + x = D","z + x = D"
"Factor out z: Dz + Dx = F","D(z + x) = F"
"Expand z: D(z + x) = F","Dz + Dx = F"
"Combine terms: w + y = D","w + y = D"
"Factor out w: Dw + Dy = E","D(w + y) = E"
"Expand w: D(w + y) = E","Dw + Dy = E"
"Combine terms: x + w = D","x + w = D"
"Factor out D: Dx + Dw = E","D(x + w) = E"
"Expand D: D(x + w) = E","Dx + Dw = E"
"Combine terms: w + z = D","w + z = D"
"Factor out D: Dw + Dz = F","D(w + z) = F"
"Expand D: D(w + z) = F","Dw + Dz = F"
"Combine terms: y + x = D","y + x = D"
"Factor out D: Dy + Dx = F","D(y + x) = F"
"Expand D: D(y + x) = F","Dy + Dx = F"
"Combine terms: z + y = D","z + y = D"
"Factor out z: Dz + Dy = F","D(z + y) = F"
"Expand z: D(z + y) = F","Dz + Dy = F"
"Combine terms: w + x = D","w + x = D"
"Factor out w: Dw + Dx = E","D(w + x) = E"
"Expand w: D(w + x) = E","Dw + Dx = E"
"Combine terms: x + z = D","x + z = D"
"Factor out D: Dx + Dz = F","D(x + z) = F"
"Expand D: D(x + z) = F","Dx + Dz = F"
"Combine terms: w + y = D","w + y = D"
"Factor out D: Dw + Dy = E","D(w + y) = E"
"Expand D: D(w + y) = E","Dw + Dy = E"
"Combine terms: w + z = D","w + z = D"
"Factor out w: Dw + Dz = F","D(w + z) = F"
"Expand w: D(w + z) = F","Dw + Dz = F"
"Combine terms: y + z = D","y + z = D"
"Factor out D: Dy + Dz = F","D(y + z) = F"
"Expand D: D(y + z) = F","Dy + Dz = F"
"Combine terms: z + w = D","z + w = D"
"Factor out z: Dz + Dw = F","D(z + w) = F"
"Expand z: D(z + w) = F","Dz + Dw = F"
"Combine terms: A + B = Y","A + B = Y"
"Factor out A: AB + AC = Z","A(B + C) = Z"
"Expand A: A(B + C) = Z","AB + AC = Z"
"Combine terms: B + C = Y","B + C = Y"
"Factor out B: BA + BC = Z","B(A + C) = Z"
"Expand B: B(A + C) = Z","BA + BC = Z"
"Combine terms: C + A = Y","C + A = Y"
"Factor out C: CB + CA = Z","C(B + A) = Z"
"Expand C: C(B + A) = Z","CB + CA = Z"
"Combine terms: A + C = Y","A + C = Y"
"Factor out A: AB + AD = Z","A(B + D) = Z"
"Expand A: A(B + D) = Z","AB + AD = Z"
"Combine terms: B + D = Y","B + D = Y"
"Factor out B: BD + BA = Z","B(D + A) = Z"
"Expand B: B(D + A) = Z","BD + BA = Z"
"Combine terms: D + A = Y","D + A = Y"
"Factor out D: DB + DA = Z","D(B + A) = Z"
"Expand D: D(B + A) = Z","DB + DA = Z"
"Combine terms: A + B = Y","A + B = Y"
"Factor out A: AC + AD = Z","A(C + D) = Z"
"Expand A: A(C + D) = Z","AC + AD = Z"
"Combine terms: C + D = Y","C + D = Y"
"Factor out C: CA + CD = Z","C(A + D) = Z"
"Expand C: C(A + D) = Z","CA + CD = Z"
"Combine terms: D + B = Y","D + B = Y"
"Factor out D: DB + DC = Z","D(B + C) = Z"
"Expand D: D(B + C) = Z","DB + DC = Z"
"Combine terms: A + D = Y","A + D = Y"
"Factor out A: AC + AB = Z","A(C + B) = Z"
"Expand A: A(C + B) = Z","AC + AB = Z"
"Combine terms: B + A = Y","B + A = Y"
"Factor out B: BC + BD = Z","B(C + D) = Z"
"Expand B: B(C + D) = Z","BC + BD = Z"
"Combine terms: C + B = Y","C + B = Y"
"Factor out C: CA + CB = Z","C(A + B) = Z"
"Expand C: C(A + B) = Z","CA + CB = Z"
"Combine terms: D + C = Y","D + C = Y"
"Factor out D: DC + DA = Z","D(C + A) = Z"
"Expand D: D(C + A) = Z","DC + DA = Z"
"Combine terms: A + B = Y","A + B = Y"
"Factor out A: AD + AC = Z","A(D + C) = Z"
"Expand A: A(D + C) = Z","AD + AC = Z"
"Combine terms: B + C = Y","B + C = Y"
"Factor out B: BA + BD = Z","B(A + D) = Z"
"Expand B: B(A + D) = Z","BA + BD = Z"
"Combine terms: C + D = Y","C + D = Y"
"Factor out C: CB + CD = Z","C(B + D) = Z"
"Expand C: C(B + D) = Z","CB + CD = Z"
"Combine terms: D + A = Y","D + A = Y"
"Factor out D: DA + DC = Z","D(A + C) = Z"
"Expand D: D(A + C) = Z","DA + DC = Z"
"Combine terms: A + C = Y","A + C = Y"
"Factor out A: AD + AB = Z","A(D + B) = Z"
"Expand A: A(D + B) = Z","AD + AB = Z"
"Combine terms: B + D = Y","B + D = Y"
"Factor out B: BD + BC = Z","B(D + C) = Z"
"Expand B: B(D + C) = Z","BD + BC = Z"
"Combine terms: C + A = Y","C + A = Y"
"Factor out C: CD + CB = Z","C(D + B) = Z"
"Expand C: C(D + B) = Z","CD + CB = Z"
"Combine terms: D + B = Y","D + B = Y"
"Factor out D: DC + DB = Z","D(C + B) = Z"
"Expand D: D(C + B) = Z","DC + DB = Z"
"Combine terms: A + E = Y","A + E = Y"
"Factor out E: AE + AB = Z","E(A + B) = Z"
"Expand E: E(A + B) = Z","EA + EB = Z"
"Combine terms: B + E = Y","B + E = Y"
"Factor out E: EB + EC = Z","E(B + C) = Z"
"Expand E: E(B + C) = Z","EB + EC = Z"
"Combine terms: C + E = Y","C + E = Y"
"Factor out E: EC + ED = Z","E(C + D) = Z"
"Expand E: E(C + D) = Z","EC + ED = Z"
"Combine terms: D + E = Y","D + E = Y"
"Factor out E: ED + EA = Z","E(D + A) = Z"
"Expand E: E(D + A) = Z","ED + EA = Z"
"Combine terms: A + E = Y","A + E = Y"
"Factor out A: AE + AC = Z","A(E + C) = Z"
"Expand A: A(E + C) = Z","AE + AC = Z"
"Combine terms: B + E = Y","B + E = Y"
"Factor out B: BE + BA = Z","B(E + A) = Z"
"Expand B: B(E + A) = Z","BE + BA = Z"
"Combine terms: C + E = Y","C + E = Y"
"Factor out C: CE + CB = Z","C(E + B) = Z"
"Expand C: C(E + B) = Z","CE + CB = Z"
"Combine terms: D + E = Y","D + E = Y"
"Factor out D: DE + DC = Z","D(E + C) = Z"
"Expand D: D(E + C) = Z","DE + DC = Z"
"Combine terms: E + A = Y","E + A = Y"
"Factor out E: EA + ED = Z","E(A + D) = Z"
"Expand E: E(A + D) = Z","EA + ED = Z"
"Combine terms: A + D = Y","A + D = Y"
"Factor out A: AD + AE = Z","A(D + E) = Z"
"Expand A: A(D + E) = Z","AD + AE = Z"
"Combine terms: E + B = Y","E + B = Y"
"Factor out E: EB + EC = Z","E(B + C) = Z"
"Expand E: E(B + C) = Z","EB + EC = Z"
"Combine terms: C + D = Y","C + D = Y"
"Factor out C: CD + CA = Z","C(D + A) = Z"
"Expand C: C(D + A) = Z","CD + CA = Z"
"Combine terms: D + A = Y","D + A = Y"
"Factor out D: DA + DB = Z","D(A + B) = Z"
"Expand D: D(A + B) = Z","DA + DB = Z"
"Combine terms: A + E = Y","A + E = Y"
"Factor out A: AE + AD = Z","A(E + D) = Z"
"Expand A: A(E + D) = Z","AE + AD = Z"
"Combine terms: B + D = Y","B + D = Y"
"Factor out B: BD + BE = Z","B(D + E) = Z"
"Expand B: B(D + E) = Z","BD + BE = Z"
"Combine terms: E + C = Y","E + C = Y"
"Factor out E: EC + ED = Z","E(C + D) = Z"
"Expand E: E(C + D) = Z","EC + ED = Z"
"Combine terms: D + C = Y","D + C = Y"
"Factor out D: DC + DE = Z","D(C + E) = Z"
"Expand D: D(C + E) = Z","DC + DE = Z"
"Combine terms: A + C = Y","A + C = Y"
"Factor out A: AC + AE = Z","A(C + E) = Z"
"Expand A: A(C + E) = Z","AC + AE = Z"
"Combine terms: E + B = Y","E + B = Y"
"Factor out E: EB + EA = Z","E(B + A) = Z"
"Expand E: E(B + A) = Z","EB + EA = Z"
"Combine terms: C + A = Y","C + A = Y"
"Factor out C: CA + CE = Z","C(A + E) = Z"
"Expand C: C(A + E) = Z","CA + CE = Z"
"Combine terms: D + E = Y","D + E = Y"
"Factor out D: DE + DA = Z","D(E + A) = Z"
"Expand D: D(E + A) = Z","DE + DA = Z"
"Move x: A + x = B","A = B - x"
"Move y: y + D = E","D = E - y"
"Move z: z + C = A","C = A - z"
"Move x: F = G + x","F - x = G"
"Move y: H = y + I","H - y = I"
"Move z: J = K + z","J - z = K"
"Move x: x - L = M","L + x = M"
"Move y: y - N = O","N + y = O"
"Move z: P = z - Q","P + z = Q"
"Move x: x + R = S","R = S - x"
"Move y: T = U + y","T - y = U"
"Move z: V + z = W","V = W - z"
"Move x: x - X = Y","X + x = Y"
"Move y: Z = y - A","Z + y = A"
"Move z: B = C + z","B - z = C"
"Move x: x + D = E","D = E - x"
"Move y: F = y + G","F - y = G"
"Move z: H + z = I","H = I - z"
"Move x: J - x = K","J = K + x"
"Move y: L = M + y","L - y = M"
"Move z: N = O + z","N - z = O"
"Move x: P - x = Q","P = Q + x"
"Move y: R = S + y","R - y = S"
"Move z: T + z = U","T = U - z"
"Move x: V - x = W","V = W + x"
"Move y: X = Y + y","X - y = Y"
"Move z: Z = A + z","Z - z = A"
"Move x: B + x = C","B = C - x"
"Move y: D = E + y","D - y = E"
"Move z: F + z = G","F = G - z"
"Move x: H - x = I","H = I + x"
"Move y: J = K + y","J - y = K"
"Move z: L = M + z","L - z = M"
"Move x: N - x = O","N = O + x"
"Move y: P = Q + y","P - y = Q"
"Move z: R = S + z","R - z = S"
"Move x: T + x = U","T = U - x"
"Move y: V = W + y","V - y = W"
"Move z: X = Y + z","X - z = Y"
"Move x: Z + x = A","Z = A - x"
"Move y: B = C + y","B - y = C"
"Move z: D = E + z","D - z = E"
"Move x: F + x = G","F = G - x"
"Move y: H = I + y","H - y = I"
"Move z: J = K + z","J - z = K"
"Move x: L - x = M","L = M + x"
"Move y: N = O + y","N - y = O"
"Move z: P = Q + z","P - z = Q"
"Move x: R + x = S","R = S - x"
"Move y: T = U + y","T - y = U"
"Move z: V = W + z","V - z = W"
"Move x: X - x = Y","X = Y + x"
"Move y: Z = A + y","Z - y = A"
"Move z: B = C + z","B - z = C"
"Move x: D + x = E","D = E - x"
"Move y: F = G + y","F - y = G"
"Move z: H = I + z","H - z = I"
"Move x: J - x = K","J = K + x"
"Move y: L = M + y","L - y = M"
"Move z: N = O + z","N - z = O"
"Move x: P + x = Q","P = Q - x"
"Move y: R = S + y","R - y = S"
"Move z: T = U + z","T - z = U"
"Move x: V - x = W","V = W + x"
"Move y: X = Y + y","X - y = Y"
"Move z: Z = A + z","Z - z = A"
"Move x: B + x = C","B = C - x"
"Move y: D = E + y","D - y = E"
"Move z: F = G + z","F - z = G"
"Move x: H + x = I","H = I - x"
"Move y: J = K + y","J - y = K"
"Move z: L = M + z","L - z = M"
"Move x: N + x = O","N = O - x"
"Move y: P = Q + y","P - y = Q"
"Move z: R = S + z","R - z = S"
"Move x: T + x = U","T = U - x"
"Move y: V = W + y","V - y = W"
"Move z: X = Y + z","X - z = Y"
"Move x: Z + x = A","Z = A - x"
"Move y: B = C + y","B - y = C"
"Move z: D = E + z","D - z = E"
"Move x: F + x = G","F = G - x"
"Move y: H = I + y","H - y = I"
"Move z: J = K + z","J - z = K"
"Move x: A + x^2 = B + Cx","A - B = Cx - x^2"
"Move y: y^3 + D = E + y","y^3 + D - E = y"
"Move z: z + C^2 = A^2z","z + C^2 - A^2z = 0"
"Move x: x^2 + Fx = G","x^2 + Fx - G = 0"
"Move y: Hy^3 = y + I^2","Hy^3 - y = I^2"
"Move z: Jz = K^2 + z^2","Jz - z^2 = K^2"
"Move x: x^3 - L = Mx","x^3 - L - Mx = 0"
"Move y: Ny^2 = O + y^3","Ny^2 - y^3 = O"
"Move z: P^2 = z^2 - Qz","P^2 + Qz = z^2"
